feature,mean_abs_shap
product_diversity_ratio,4.346254552016962
total_events,2.685973719152168
view_count,1.3909360319496222
cart_to_view_ratio,1.368219646324606
unique_products,0.7672825237366976
cart_count,0.4272600590936146
unique_brands,0.06382073668419844
session_duration_sec,0.055998023441094245
days_since_first_seen,0.02812129812418133
max_price,0.020470318105103087
min_price,0.02012620910965123
price_range,0.015669168542147283
avg_price,0.014676995644172875
start_hour,0.012880934034464601
days_since_last_session,0.011383793199123344
unique_categories,0.010227980521260057
prior_purchases,0.005980397157151666
prior_sessions,0.003645081705243095
is_weekend,0.0025315974333806326
day_of_week,0.002509815294494746
is_returning_user,0.0009344173819360909
